## [BeGaze]
## Converted from:	\\Ivr-x-1134-0601\shareddocs\sm\procenko001-002.idf
## Date:	25.04.2015 14:47:46
## Version:	BeGaze 3.5.101
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Trial
## Trial Count:	21
## Uses Plane File:	False
## Number of Samples:	39861
## Reversed:	none
## [Run]
## Subject:	procenko001-002
## Description:	Run27
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;108)
## Calibration Point 2:	Position(1728;270)
## Calibration Point 3:	Position(1440;972)
## Calibration Point 4:	Position(192;810)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1134-06012-NRB
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],L Event Info
22793846971,SMP,18,544.00,227.69,Fixation
22793850958,SMP,18,543.35,226.46,Fixation
22793854999,SMP,18,538.33,224.18,Fixation
22793858973,SMP,18,542.33,222.94,Fixation
22793862965,SMP,18,546.23,222.54,Fixation
22793866957,SMP,18,551.07,222.44,Fixation
22793870941,SMP,18,546.25,222.10,Fixation
22793874977,SMP,18,549.60,221.68,Fixation
22793878967,SMP,18,544.67,222.54,Fixation
22793882958,SMP,18,544.79,222.51,Fixation
22793886967,SMP,18,545.21,222.07,Fixation
22793890968,SMP,18,544.51,223.78,Fixation
22793894961,SMP,18,547.48,225.13,Fixation
22793898961,SMP,18,546.29,227.61,Fixation
22793902963,SMP,18,551.04,227.48,Fixation
22793906965,SMP,18,547.42,227.52,Fixation
22793910966,SMP,18,548.07,227.58,Fixation
22793914954,SMP,18,547.84,228.88,Fixation
22793918906,SMP,18,546.83,231.01,Fixation
22793922973,SMP,18,545.47,231.48,Fixation
22793926963,SMP,18,545.99,231.84,Saccade
22793930956,SMP,18,541.68,232.83,Saccade
22793934873,SMP,18,534.64,229.66,Saccade
22793938979,SMP,18,519.24,225.30,Saccade
22793942974,SMP,18,513.01,223.95,Saccade
22793946956,SMP,18,508.20,222.18,Fixation
22793950912,SMP,18,511.79,221.42,Fixation
22793954979,SMP,18,519.73,220.02,Fixation
22793958963,SMP,18,518.68,220.01,Fixation
22793962961,SMP,18,518.16,216.64,Fixation
22793966993,SMP,18,513.93,214.42,Fixation
22793970960,SMP,18,507.41,212.36,Fixation
22793974966,SMP,18,507.64,212.03,Fixation
22793978956,SMP,18,504.47,212.32,Fixation
22793982876,SMP,18,508.86,212.43,Fixation
22793986997,SMP,18,508.86,212.68,Fixation
22793990994,SMP,18,511.83,212.82,Fixation
22793994961,SMP,18,511.09,212.69,Fixation
22793998913,SMP,18,512.10,212.62,Fixation
22794002979,SMP,18,511.86,212.46,Fixation
22794006975,SMP,18,510.08,212.06,Fixation
22794010957,SMP,18,508.13,211.47,Fixation
22794014967,SMP,18,509.32,212.83,Fixation
22794018961,SMP,18,508.59,212.31,Fixation
22794022978,SMP,18,509.62,210.96,Fixation
22794026956,SMP,18,510.34,211.08,Fixation
22794030987,SMP,18,507.06,209.89,Fixation
22794034971,SMP,18,505.95,209.25,Fixation
22794038958,SMP,18,505.93,207.04,Fixation
22794042957,SMP,18,507.50,206.69,Fixation
22794046976,SMP,18,503.98,206.63,Fixation
22794050959,SMP,18,504.02,206.10,Fixation
22794054983,SMP,18,503.84,207.46,Fixation
22794058960,SMP,18,503.95,207.13,Fixation
22794062981,SMP,18,502.09,205.24,Fixation
22794066957,SMP,18,503.24,205.34,Fixation
22794070961,SMP,18,504.04,204.16,Fixation
22794074957,SMP,18,504.00,205.46,Fixation
22794078918,SMP,18,504.35,205.45,Fixation
22794082960,SMP,18,504.34,207.13,Fixation
22794086972,SMP,18,501.06,207.43,Fixation
22794090961,SMP,18,498.30,207.02,Fixation
22794094967,SMP,18,498.82,207.61,Fixation
22794098983,SMP,18,498.52,206.55,Fixation
22794102970,SMP,18,496.88,205.93,Fixation
22794106958,SMP,18,499.61,205.48,Fixation
22794110983,SMP,18,499.27,204.77,Fixation
22794114961,SMP,18,499.74,204.22,Fixation
22794118974,SMP,18,499.06,202.58,Fixation
22794122958,SMP,18,500.85,201.90,Fixation
22794126971,SMP,18,501.16,200.22,Fixation
22794130970,SMP,18,501.45,198.37,Fixation
22794134959,SMP,18,503.24,197.37,Fixation
22794138956,SMP,18,504.20,195.74,Fixation
22794142982,SMP,18,502.82,195.49,Fixation
