## [BeGaze]
## Converted from:	\\Ivr-x-1134-0601\begazedatafromstimulipc\fw\data4Paul\ARU\EMIP3_2_1\ARU-P05-[fbc020e3-72c0-4603-ae37-7180360735d5]\ARU-P05-eye_data.idf
## Date:	27.07.2015 22:59:53
## Version:	BeGaze 3.5.101
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	8325
## Reversed:	none
## [Run]
## Subject:	ARU-P05
## Description:	Run5
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RMX0993602-1450//SMI_RED250mobile
## Operating System :	6.2.9200
## IView X Version:	4.2.0.0
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	, RIGHT, POR
##
Time,Type,Trial,R POR X [px],R POR Y [px],R Event Info
825593818,SMP,1,0.0000,0.0000,Blink
825597818,SMP,1,0.0000,0.0000,Blink
825601818,SMP,1,0.0000,0.0000,Blink
825605817,SMP,1,0.0000,0.0000,Blink
825609817,SMP,1,0.0000,0.0000,Blink
825613817,SMP,1,0.0000,0.0000,Blink
825617816,SMP,1,0.0000,0.0000,Blink
825621815,SMP,1,0.0000,0.0000,Blink
825625813,SMP,1,0.0000,0.0000,Blink
825629812,SMP,1,0.0000,0.0000,Blink
825633811,SMP,1,0.0000,0.0000,Blink
825637810,SMP,1,0.0000,0.0000,Blink
825641809,SMP,1,0.0000,0.0000,Blink
825645807,SMP,1,0.0000,0.0000,Blink
825649806,SMP,1,0.0000,0.0000,Blink
825653805,SMP,1,0.0000,0.0000,Blink
825657804,SMP,1,955.9580,112.0304,Blink
825661803,SMP,1,942.9892,80.6341,Blink
825665801,SMP,1,919.3397,107.2691,Blink
825669800,SMP,1,940.0425,98.7696,Blink
825673799,SMP,1,912.6937,109.3649,Blink
825677798,SMP,1,917.7244,102.7223,Fixation
825681797,SMP,1,926.5819,103.9464,Fixation
825685796,SMP,1,925.1163,103.9139,Fixation
825689794,SMP,1,925.8391,122.8478,Fixation
825693793,SMP,1,926.3560,120.1031,Fixation
825697792,SMP,1,927.4169,123.7696,Fixation
825701791,SMP,1,928.4845,131.3160,Fixation
825705790,SMP,1,925.4085,131.0722,Fixation
825709788,SMP,1,925.6577,144.0429,Fixation
825713787,SMP,1,923.4551,150.4130,Fixation
825717786,SMP,1,924.2063,151.3522,Fixation
825721785,SMP,1,924.2166,153.1843,Fixation
825725784,SMP,1,923.1757,152.9129,Fixation
825729782,SMP,1,924.5984,154.4061,Fixation
825733781,SMP,1,924.8001,152.5854,Fixation
825737780,SMP,1,925.4887,152.2226,Fixation
825741779,SMP,1,923.2428,151.5593,Fixation
825745778,SMP,1,922.1536,153.7805,Fixation
825749775,SMP,1,922.9507,149.8643,Fixation
825753773,SMP,1,923.3552,149.7315,Fixation
825757770,SMP,1,923.4639,148.7985,Fixation
825761768,SMP,1,922.7117,149.3452,Fixation
825765765,SMP,1,924.5559,149.5640,Fixation
825769763,SMP,1,924.3141,147.0858,Fixation
825773760,SMP,1,923.9313,147.1913,Fixation
825777758,SMP,1,923.9643,145.8863,Fixation
